variable,tvd
abpoor,0.0800481327728072
abrape,0.11313491013209503
gunlaw,0.19679988689573355
homosex,0.1487058823529412
xmarsex,0.07669525173150683
pornlaw,0.007044084253386578
premarsx,0.5505265420159038
abdefect,0.05870685889034513
cappun,0.16216543103335557
fefam,0.27050439799934145
fechld,0.1473902617814057
abhlth,0.10593393744519145
immameco,0.11204675588237228
spkath,0.14246195584567908
eqwlth,0.3505360562278656
affrmact,0.23302133400792646
immjobs,0.26181500685471826
grass,0.07906050120582989
fepresch,0.2169547974592503
immcrime,0.17744851365203615
spkmslm,0.30364308852680943
spkrac,0.4201888058271037
confed,0.2224808748298681
god,0.4387925677355208
colrac,0.3334274789258712
colath,0.007609462735110872
bible,0.382116212593849
natsci,0.39726050742389707
natenvir,0.11143472204634673
natspac,0.28591186122831697
consci,0.19255604490214906
conpress,0.3443785540972242
natsoc,0.14458333333333329
coneduc,0.1410264362540163
natheal,0.13596484022015934
colmslm,0.16040147321442788
nataid,0.3943399202267851
natroad,0.025938588515653893
nateduc,0.07866977369410269
conbus,0.14949750714597235
conlegis,0.29571132191018956
conmedic,0.09790547773108141
helpful,0.2549700829955607
confinan,0.12473172970760092
trust,0.1371308016877637
conarmy,0.09920340293890177
